,name,review,date_old,rating,company,country,date,topic,content
831,Friedlbräu,1.0,"Sunday, September 1, 2024 at 07:45:36 a.m.",5,alibaba,Switzerland,2024-09-01 07:45:36,service and advice from emma,service and advice from emma from shandong zeren machinery equipment is excellent and always very helpfuli will order from her again at any time
832,Leo Patrick,1.0,"Saturday, August 31, 2024 at 11:52:51 p.m.",1,alibaba,United States,2024-08-01 23:52:51,s24 ultra smart phone,the phone s24 ultra that i bought from alibaba did not work the phone carrier spent two days with me trying to get it to work but the phone did not work the carrier told me that the phone s24 ultra is a counter fit phone and that i should buy a new brand name phone such as samsung galaxy and asked me to check their website and choose a brand name phone from there
833,Steve Easton,6.0,"Saturday, August 31, 2024 at 05:32:39 p.m.",1,alibaba,United States,2024-08-01 17:32:39,beware of a company called buraq impex,beware of a company called buraq impex salman amjad  a pakistani operation that will rip you off and send nothing you ordered they operate on alibaba facebook instagram and their own com 
834,SANJAY JOSHI,8.0,"Saturday, August 31, 2024 at 02:40:30 a.m.",5,alibaba,India,2024-08-01 02:40:30,you are are okay but what about extra charges,alibaba interface userfriendly service made my electronics exports a breeze
835,Danny Huynh,1.0,"Friday, August 30, 2024 at 06:34:23 p.m.",5,alibaba,United States,2024-08-01 18:34:23,managing the relationship with the,managing the relationship with the seller is easy but the text application can be improved
836,The House of Awareness,1.0,"Friday, August 30, 2024 at 01:09:05 p.m.",5,alibaba,United States,2024-08-01 13:09:05,my experience has been very positive,my experience has been very positive  great place to buy items  thehouseofawarenesscom
837,Kathleen Rhodes,2.0,"Friday, August 30, 2024 at 12:48:08 p.m.",5,alibaba,United States,2024-08-01 12:48:08,excellent experience with dongguan shunxin iot technology co ltd,my contact min zeng at dongguan shunxin iot technology co ltd was very helpful and responsive to be honest this was my first time ordering something from alibaba and i couldnt be happier with the result not to mention that once approved the production and shipping of my order were incredibly quick
839,RMS,1.0,"Friday, August 30, 2024 at 12:17:51 p.m.",4,alibaba,Japan,2024-08-01 12:17:51,no stress to complete order and,no stress to complete order and delivery
840,John Musila Musila,2.0,"Friday, August 30, 2024 at 08:05:56 a.m.",5,alibaba,Kenya,2024-08-01 08:05:56,amazing platform,am happy with the service i recieved from the suppliers i dealt with
841,Mythical Scotland,1.0,"Friday, August 30, 2024 at 07:59:54 a.m.",5,alibaba,United Kingdom,2024-08-01 07:59:54,getting a soft toy made ,i recently received a custommade plushie and i am absolutely blown away by the quality and craftsmanship from the moment i unwrapped it i could tell that this plushie was made with immense care and attention to detailif you are looking for a good company to get things made go with them
842,Mike M,11.0,"Friday, August 30, 2024 at 07:40:15 a.m.",1,alibaba,United States,2024-08-01 07:40:15,scam website careful what you buy and,scam website careful what you buy and how much you spend 
843,Steffen B,3.0,"Friday, August 30, 2024 at 02:43:30 a.m.",5,alibaba,Germany,2024-08-01 02:43:30,communication with the seller was very professional,the delivery was smooth and faster than expected and the communication with the seller was very professional
844,Myriam Ballon,13.0,"Thursday, August 29, 2024 at 01:56:53 p.m.",5,alibaba,France,2024-08-01 13:56:53,magic trick are high quality and,magic trick are high quality and original products personnalized props is really good quality and easy to make staff is very nice and answer all my question very fast shipping was faster than i thought thank you really much
845,abiesel diaz,1.0,"Thursday, August 29, 2024 at 05:54:23 a.m.",5,alibaba,Puerto Rico,2024-08-01 05:54:23,the communication with the seller is good,the communication with the seller is very easy he understands and help you the products quality is pretty good
846,Marthinus Greyling,1.0,"Thursday, August 29, 2024 at 05:27:40 a.m.",5,alibaba,South Africa,2024-08-01 05:27:40,great service and team work,i am in constant communication with the team i purchase from they keep me informed of new products they always give great advice they follow up for me on progress of delivery i get informed of quality testing before dispatching just overall great service and i feel part of the team
847,Edilson Ramos,1.0,"Wednesday, August 28, 2024 at 09:56:58 p.m.",5,alibaba,United States,2024-08-01 21:56:58,everything is great ,everything is great  no words 
848,EM,1.0,"Wednesday, August 28, 2024 at 09:55:41 p.m.",5,alibaba,United States,2024-08-01 21:55:41,no issues will use again,placed an order and received in a timely manner  no complaints  i will continue to use alibaba
849,customer,9.0,"Wednesday, August 28, 2024 at 08:56:03 p.m.",1,alibaba,United Kingdom,2024-08-01 20:56:03,stay a million miles away from alibaba,never buy anything from alibaba i ordered a 185 cricket bat and the verified seller in their website gave me a fake bat when i log a complaint their customer service team turned me down saying they only deal with if products are not received but not get involved about product quality seems like they purposely let people use their website and help people to get scammed 
850,Shadi Rahmani,1.0,"Wednesday, August 28, 2024 at 12:45:20 p.m.",5,alibaba,Canada,2024-08-01 12:45:20,professional customer service and,professional customer service and highquality product
851,Harish Khatri,1.0,"Wednesday, August 28, 2024 at 08:18:45 a.m.",5,alibaba,India,2024-08-01 08:18:45,very good,very good service
852,Matej,1.0,"Wednesday, August 28, 2024 at 06:52:42 a.m.",5,alibaba,Slovenia,2024-08-01 06:52:42,the service was exceptional,the service was exceptional on time delivery great quality and always there to help
853,Akash Ekka,1.0,"Wednesday, August 28, 2024 at 05:57:40 a.m.",5,alibaba,India,2024-08-01 05:57:40,thefood quality is,thefood quality is deliciousthe best restaurant in kerala munnarmust visit alibaba restaurant 
854,M J,2.0,"Wednesday, August 28, 2024 at 04:43:31 a.m.",1,alibaba,Ireland,2024-08-01 04:43:31,not a satisifed customer, despite my clear instructions and specific measurements provided for customization the suit i received did not reflect the agreedupon specifications i had received confirmation that the customizations would be implemented yet the suit was shipped without several key modifications additionally the size of the suit is one size too small rendering it unwearablefurthermore i have experienced considerable delays in the refund process it appears that responses during the alibaba mediation process were provided at the last minute of each deadline from the supplier which has further complicated the resolution as a result i am now left with a suit that i cannot wear despite having invested 150 inclusive of customs taxes and mediation refund amount 
855,Johanne,21.0,"Wednesday, August 28, 2024 at 04:29:26 a.m.",1,alibaba,Denmark,2024-08-01 04:29:26,misleading prices ,misleading priceswanted to buy some tents for a school price is ok when i put in the amount of tents i need the price is doubled turns out the delivery price or tent is as much as the tent itself tent cost 1631 kr and delivery pr tent is 1327 kr prices are misleading
856,JAMES JONES,1.0,"Wednesday, August 28, 2024 at 01:12:19 a.m.",5,alibaba,United States,2024-08-01 01:12:19,i was skeptical at first,i was skeptical at first but i am a 100 satisfied first time user
857,Feodore&Larissa Consultant,1.0,"Tuesday, August 27, 2024 at 11:45:19 p.m.",3,alibaba,Papua New Guinea,2024-08-01 23:45:19,professional service still areas of improvement,supplier has demonstrated professional level of service support and quality products would appreciate if the turn around time to delivery and shipment is improved meaning reduced down
859,richard hilaire,1.0,"Tuesday, August 27, 2024 at 08:59:43 p.m.",5,alibaba,United States,2024-08-01 20:59:43,great quality,great quality delivery was on time
860,Tim Milhouse,1.0,"Tuesday, August 27, 2024 at 05:23:00 p.m.",5,alibaba,United States,2024-08-01 17:23:00,great communication,excellent communication and fast delivery  will be ordering more socks in the future
861,Amir,3.0,"Tuesday, August 27, 2024 at 04:36:06 p.m.",1,alibaba,United States,2024-08-01 16:36:06,didnt receive my item and cant get ,didnt receive my item and cant get  refund 
862,Bao Tran Quoc,1.0,"Tuesday, August 27, 2024 at 02:06:13 p.m.",5,alibaba,Viet Nam,2024-08-01 14:06:13,great,great delivery is ontime
863,Pierre Koch,2.0,"Tuesday, August 27, 2024 at 10:09:44 a.m.",5,alibaba,Canada,2024-08-01 10:09:44,service,service product quality trust
864,Alibaba Inc,2.0,"Tuesday, August 27, 2024 at 03:48:23 a.m.",1,alibaba,Romania,2024-08-01 03:48:23,only promoting china made item other,only promoting china made item other country paid suppliers left in dust shame on them
865,clickworker,3.0,"Tuesday, August 27, 2024 at 01:30:26 a.m.",5,alibaba,Ghana,2024-08-01 01:30:26,dont shop anywhere else in this world,dont shop anywhere else in this world if you want more for your money alibaba is where fashion and budget sit to dine and wine verified sellers shippers everything you dont lose any money your money is protected and you could get refunds where necessary dont shop elsewhere please come to alibabaaliexpress
866,Leandro,1.0,"Monday, August 26, 2024 at 06:50:47 p.m.",5,alibaba,Argentina,2024-08-01 18:50:47,excellent ,i want to express my gratitude the product arrived in excellent condition with careful packaging that protected every detail the quality of the work is remarkable and the service provided was professional and timely we greatly appreciate your commitment to our standards and look forward to continuing our collaboration in the future
867,Felipe dedes,1.0,"Monday, August 26, 2024 at 05:22:01 p.m.",5,alibaba,Chile,2024-08-01 17:22:01,easy peasy,easy peasy it was easier than expected
868,PKinWI,1.0,"Monday, August 26, 2024 at 02:34:49 p.m.",5,alibaba,United States,2024-08-01 14:34:49,my first time and i was nervous,the vendor i chose produced an excellent product with this being my first time ordering overseas the trade assurance and vendor rating was very helpful in my decision
869,osei osei,1.0,"Monday, August 26, 2024 at 02:31:55 p.m.",3,alibaba,Ghana,2024-08-01 14:31:55,i have been ordering products and i,i have been ordering products and i usually receive it as i ordered i have not yet encounter any problem now but my colleagues has face many challenges their company bought something but received a product which was different from what the company ordered however its difficult to know whether the manufacturing company you intend to buy from is genuine or not mostly with manufacturing companies from america europe india and pakistan i need more help and education on thatalso prices posted by some manufacturing companies are sometimes different when we make enquiries thank you
870,Robson,1.0,"Monday, August 26, 2024 at 12:58:05 p.m.",5,alibaba,Brazil,2024-08-01 12:58:05,great experience,great experience its a safe shopping environment
871,Yaniv,1.0,"Monday, August 26, 2024 at 05:25:30 a.m.",5,alibaba,Israel,2024-08-01 05:25:30,richard is the goat,outstanding service and topquality products weve been sourcing sofa covers from this supplier and every order has exceeded our expectations the fabric quality craftsmanship and variety of designs have made our customers extremely happy what sets them apart is their exceptional customer servicealways prompt friendly and willing to go the extra mile deliveries have been reliable and fast with everything arriving perfectly packaged its been a pleasure working with such a professional and trustworthy supplier highly recommended for anyone looking to elevate their business
872,Rok Urbanc,2.0,"Monday, August 26, 2024 at 05:24:32 a.m.",5,alibaba,Slovenia,2024-08-01 05:24:32,great,great experiance with alibaba so far
873,Wesley Wobles,4.0,"Sunday, August 25, 2024 at 11:46:57 p.m.",5,alibaba,United States,2024-08-01 23:46:57,honest overseas company that provides,honest overseas company that provides great products and shipping at a much lower cost 
874,DRINK GALACTIC,1.0,"Sunday, August 25, 2024 at 11:09:44 p.m.",5,alibaba,United States,2024-08-01 23:09:44,excellent,excellent very great help would recommend to use this company
875,Ryuu Makki,2.0,"Sunday, August 25, 2024 at 04:32:58 p.m.",5,alibaba,United States,2024-08-01 16:32:58,first order went well,this is my first order on alibaba and it went smoothly purchasing items here is different from other sites the supplier i ordered from was helpful with answering my questions about how to place an order i might update after future orders
876,Manfred Seymann,4.0,"Sunday, August 25, 2024 at 09:03:19 a.m.",1,alibaba,Austria,2024-08-01 09:03:19,alibabacom kmmert sich nicht,alibabacom kmmert sich nicht um seine kunden anbieter werden nicht angehalten nach eu richtlinien zu verkaufen bieten eu konforme produkte an uns senden waren ohne ce zertifikat no name produkte und geben keinerlei garantie und gewhrleistungdann wenn sie reklamieren kommt so eine mailthank you for contacting alibabai am sorry to hear that youve experienced a problem with a supplier on alibabacom and i am willing to assist youif you have any other questions and have sufficient and valid evidence please initiate another offline dispute and there will be personnel to verify and handle it for youaccording to our policy for the offline transaction alibaba only handles 2 types of offline disputes the buyer pays but the seller maliciously refuses to ship and payment not received after shipping other offline disputes will no longer be handledafter reviewing the evidence the seller has already sent you the goods and provided proof of delivery therefore the current situation is not that the seller maliciously refuses to ship please actively contact the seller for communication and negotiationyour understanding and cooperation on this matter will be highly appreciatedrespectfullypearlytrade dispute mediation departmet
877,Serhiy Fedorovych,1.0,"Sunday, August 25, 2024 at 08:00:00 a.m.",5,alibaba,New Zealand,2024-08-01 08:00:00,good company quick responding and easy communication,good company making reliable and high tech product  
879,Charles Washington,2.0,"Saturday, August 24, 2024 at 11:55:09 p.m.",5,alibaba,United States,2024-08-01 23:55:09,high quality socks and great communication,the supplier does a great job with communication and provides excellent customer service
880,Gary,22.0,"Saturday, August 24, 2024 at 06:38:50 p.m.",4,alibaba,United States,2024-08-01 18:38:50,good product,good product nice boxes 
881,David Dardar,7.0,"Saturday, August 24, 2024 at 03:50:20 p.m.",1,alibaba,United States,2024-08-01 15:50:20,awful customer service,i recently purchased a yearlong subscription to autocad which required an existing autodesk accounta prerequisite that was duly provided i was assured that the activation process would be seamless once the email address was entered my membership would become active however despite the passage of over a month this has not occurred my autodesk account still indicates that i have no active membershipwhen i reached out to alibabas customer service for assistance i was met with a dismissive response they merely reiterated that the membership had been activated and offered no further support essentially insinuating that my concerns were unfoundedfollowing this i purchased a membership for nitro pdf only to encounter a similar issue the membership failed to activate despite my compliance with the convoluted instructions provided by customer serviceinstructions that were never communicated prior to the purchase once again i found myself with a dead membership and a pointless expenditurewhile the competitive pricing of these products initially attracted me it is becoming clear that these purchases amount to nothing more than wasted resources successful small transactions are the foundation of longterm business relationships but given these repeated failures future purchases are now highly improbable
882,A K,8.0,"Saturday, August 24, 2024 at 10:53:55 a.m.",5,alibaba,United Kingdom,2024-08-01 10:53:55,very happy with products and service,very happy with products and service 
883,Sven,1.0,"Saturday, August 24, 2024 at 10:26:40 a.m.",5,alibaba,Germany,2024-08-01 10:26:40,easy and safe  no worries,find the product you need easy communication with top support if required safe payment and full insurance 
884,FAWZI,5.0,"Saturday, August 24, 2024 at 08:55:15 a.m.",5,alibaba,Turkey,2024-08-01 08:55:15,good,first the speed of response interest commitment to the deadline and quality of the products
885,kerellos naser labib,1.0,"Saturday, August 24, 2024 at 08:18:04 a.m.",5,alibaba,Egypt,2024-08-01 08:18:04,it was my first time using alibaba,it was my first time using alibaba and my experience with it was just beyond my expectations great site
886,Karen Jordan,1.0,"Friday, August 23, 2024 at 07:45:20 p.m.",5,alibaba,United States,2024-08-01 19:45:20,excellent customer service,excellent customer service excellent quality of products fast shipping
887,Gotta Run,1.0,"Friday, August 23, 2024 at 05:26:59 p.m.",5,alibaba,Canada,2024-08-01 17:26:59,another fantastic hat,we have ordered from this company before and we appreciate their excellent communication and dedication to a seamless order and delivery process the quality of the hats is excellent and they achieved the exact design we were looking for will order again
888,Adam Chua,3.0,"Friday, August 23, 2024 at 02:20:33 p.m.",5,alibaba,United States,2024-08-01 14:20:33,this company is caring and responsible,this company is patient friendly and caring the products they recommend are of great quality and the right price very responsible to  ensure we like the design and delivery 
889,Anthony,1.0,"Friday, August 23, 2024 at 07:48:48 a.m.",5,alibaba,United Kingdom,2024-08-01 07:48:48,alibabacom is still the most reliable and trusted platform for me,first and foremost alibaba makes me feel secure most sellers are prompt in their responses courteous and deliver on time
890,Always Shopping,5.0,"Friday, August 23, 2024 at 06:30:43 a.m.",5,alibaba,Australia,2024-08-01 06:30:43,no complaints from meim a happy,no complaints from meim a happy customer
891,Jessica Brooklyn Avila Republi,1.0,"Thursday, August 22, 2024 at 11:33:02 p.m.",1,alibaba,United States,2024-08-01 23:33:02,would like to get some items refunded,would like to get some items refunded the pictures are a lie and the items do not look like the pictures the company took over a month to ship my items and when received the items not true to size and very cheap quality of clothing
892,USC,1.0,"Thursday, August 22, 2024 at 10:26:29 p.m.",5,alibaba,United States,2024-08-01 22:26:29,great job alibaba,great job alibaba  great portal to work with vendors and protect consumers  very happy with everything
893,mario miranda,1.0,"Thursday, August 22, 2024 at 09:19:34 p.m.",5,alibaba,United States,2024-08-01 21:19:34,very good communication and customer,very good communication and customer service
894,Ez-N-Go LLC,1.0,"Thursday, August 22, 2024 at 07:07:22 p.m.",1,alibaba,United States,2024-08-01 19:07:22,customer service is a joke ,tried using their customer service a scamming supplier refuse to clear balance when we have already made payment in full explained the situation multiple time with evidence and was told we will go above and beyond for you to solve the problem problem  is not resolved customer service is a joke 
895,Michal,1.0,"Thursday, August 22, 2024 at 08:13:40 a.m.",5,alibaba,Slovakia,2024-08-01 08:13:40,mirror golden cuttlery set,i recently purchased a mirror golden cutlery set on alibaba and i couldnt be more satisfied the supplier was incredibly professional friendly and helpful throughout the entire process delivery was prompt and the supplier went above and beyond by tracking the shipment and notifying me in advance the quality of the cutlery is excellent and i am extremely happy with my purchase highly recommend
896,Meo,1.0,"Thursday, August 22, 2024 at 07:45:14 a.m.",5,alibaba,Hong Kong,2024-08-01 07:45:14,its easy to manage and catching the,its easy to manage and catching the good supplier
897,М. Мирсаид,1.0,"Thursday, August 22, 2024 at 05:18:12 a.m.",5,alibaba,Kazakhstan,2024-08-01 05:18:12,clientoriented and responsible supplier,clientoriented company with good managers the company provides different solutions to your problems supplier is responsible and does everything to complete their part of the agreement  
899,Gene Paolo Del Mundo,1.0,"Thursday, August 22, 2024 at 03:22:51 a.m.",5,alibaba,Philippines,2024-08-01 03:22:51,quality products and quality service,this company was a big help with my demands all of my orders were in good condition and ms daisy was very professional with all of my inquiries
900,NATHAN TIDMORE,5.0,"Thursday, August 22, 2024 at 12:14:27 a.m.",1,alibaba,United States,2024-08-01 00:14:27,alibaba and the trade assurance scam is a,alibaba and the trade assurance is a scam not only did they rob the insurance company on their coverage they also robbed me of 473170 for what was supposed to be a brand new longfar outboard i received a used longfar outboard that was damaged during shipping and none of the marine technicians will work on itdo not buy anything from alibaba
901,customer,3.0,"Wednesday, August 21, 2024 at 06:47:26 p.m.",1,alibaba,United Kingdom,2024-08-01 18:47:26,has anyone brought motorbike from this,has anyone brought motorbike from this site the price to good to be true 
902,Adam Consentir,1.0,"Wednesday, August 21, 2024 at 11:54:55 a.m.",5,alibaba,Mexico,2024-08-01 11:54:55,great service and very professional,great service and very professional communication  
903,mushy peas,7.0,"Wednesday, August 21, 2024 at 09:36:33 a.m.",1,alibaba,United Kingdom,2024-08-01 09:36:33,scum run company,scum run company avoid at all costs
904,paul,3.0,"Wednesday, August 21, 2024 at 09:15:00 a.m.",5,alibaba,United Kingdom,2024-08-01 09:15:00,perfect ,perfect  will be using again from now onwards
905,GOOD DAY GDY,1.0,"Wednesday, August 21, 2024 at 07:56:58 a.m.",5,alibaba,Philippines,2024-08-01 07:56:58,great job,in summary the medals exceeded my expectations in all aspects the combination of excellent delivery superior quality thoughtful design and outstanding service makes it a highly recommended choice for anyone looking for a meaningful and wellcrafted medal i am thoroughly pleased with my purchase and would not hesitate to recommend this product to others
906,Kathleen,4.0,"Friday, October 11, 2024 at 10:29:52 p.m.",1,walmart,United States,2024-10-01 22:29:52,i will never order from walmart online,i will never order from walmart online again terrible experience i ordered items that never showed up i had  to get my money back so i gave it  another try and  ordered led backlight for a tv for up to 60 inch they sent me lights that barely fit a 32 inch and now they dont want to give me a refund so with that second experience i am never ordering from walmart online again
907,Shasta Daisy,1.0,"Friday, October 11, 2024 at 11:40:48 p.m.",1,walmart,United States,2024-10-01 23:40:48,very disappointed ,i made 2 orders in 1 day  1 order the very next day i got 1rst order just fine 2nd order never received 3rd order was delivered 2 houses down from me it seems that since walmart switched to using ontrac delivery service instead of fedex its going to be an ongoing issue 1rst order had a picture of my package at my front door great 2nd order didnt even have a pic if my package as delivered  so no package at all 3rd order had a picture of my package at someone elses front door if i could give 0 stars i would
908,Joanne,30.0,"Thursday, October 10, 2024 at 08:06:11 p.m.",1,walmart,United States,2024-10-01 20:06:11,i made an online purchase yesterday due,i made an online purchase yesterday due to weather my order was delayed  i completely understood  well an hour or so later they notified me that i canceled my order  i did not cancel my order  so i called customer support and the best he could say was order again well they already had a hold of my funds from the previous order so i had to order again and wait 2 more days for my order  
909,Lydia Griego,1.0,"Friday, October 11, 2024 at 05:19:22 p.m.",1,walmart,United States,2024-10-01 17:19:22,walmart sucks,walmart sucks bring back self check out not everyone steals but having to wait in ridiculously long lines is stupid while self check out is empty your store sucks and your staff is extremely grumpy rude and unhelpful 
910,Bridgett J Holman,1.0,"Friday, October 11, 2024 at 05:59:00 p.m.",1,walmart,United States,2024-10-01 17:59:00,its bad when just the most simple,its bad when just the most simple items and products have to come from others countriesin my experience asian countries theres a price that you see but as soon as you go to place an order it changes to double the price very manipulating and walmart doesnt care because theyre making billions i will make screenshots at every step now because i mainly order online and its taking up to a month just to have banana oil delivered way longer and more expensive than temi at least you know beforehand that its going to be 14 days almost a month for simple 1oz oil that doubled once order was put in 
911,Emily Robinson,3.0,"Tuesday, October 8, 2024 at 10:51:22 a.m.",2,walmart,United States,2024-10-01 10:51:22,i ordered a bag and it was an offer,i ordered a bag and it was an offer initially it was 78 only two items left in stock i thought maybe end of line i made an order and walmart took payment from my bank two days later i received an email from walmart stating that my offer had been cancelled no reason given no option to reply this wasnt fair at all
912,mr,2.0,"Friday, October 11, 2024 at 09:07:35 p.m.",1,walmart,United States,2024-10-01 21:07:35,pickup driver took item without,pickup driver took item without processing return  hold all your drivers accountable they represent walmart and marie  demmarie should be held accountable for stealing
913,C Bain,1.0,"Friday, October 11, 2024 at 12:57:56 p.m.",1,walmart,Canada,2024-10-01 12:57:56,well came to walmart supercentre ,  well came to walmart supercentre  to buy black mulch or dirt  as i need 25 bags  as i call the girl answered but theres no one working in seasonal as my phone message was kicked back to her now i am on my  way  to canadian tire
914,Walter Blackwell,1.0,"Tuesday, October 8, 2024 at 02:19:55 p.m.",1,walmart,United States,2024-10-01 14:19:55,i used affirm for walmart online,i used affirm for walmart online  however it looked like affirm just pay parts of items and other is pay your card it just ran over my bank let thank walmart and affirm for mess up i plan to cancel both of clown companies congratulation walmart and affirm you lost a customer 
915,mr jax,2.0,"Sunday, October 6, 2024 at 12:41:26 a.m.",1,walmart,United States,2024-10-01 00:41:26,it shouldnt take forever to unlock anything,i was in the electronics department wanting to buy an external hard drive this morning i pressed the red call button and nobody answered after 10 minutes the electronics department employees were nowhere to be found i saw 2 of them smokin weed in the mens batchroom and told the manager she didnt do anything and claimed there was no weed smell
917,Tammy Holmes,1.0,"Monday, September 30, 2024 at 04:48:05 a.m.",4,walmart,United States,2024-09-01 04:48:05,walmartcom experience,i ordered a few things from walmartcom and everything came in on time i have had a great experience buying online i prefer shopping online through  walmartcom instead of going into the store where some items are out of stock but always get online plus the selections are way better i am ordering a mini fridge this week for my camper and i cannot wait to get it 
918,Vanessa Quinn,1.0,"Friday, October 11, 2024 at 01:03:44 p.m.",1,walmart,United States,2024-10-01 13:03:44,money order  ,i wentt to walmart in west point mississippi  to get a money oder i told the lady i wanted a 575 money order i put my card in approved the amount and put my pin in it declined or whatever it did had to do it again no money order they said the machine was messing up a manager was there and said she canceled it it i assume it was back on my card it wasnt  i went back and the manager pulled the drawer and ran the drawer receipt and counted it said it wasnt there and the drawer wasnt  overthis happen on september 252024 ive talked to the people i have my card with they said they havent received anything from walmart to return to my card  that money was bill money got me thinking after i left when the machine was used again it may have went thru and it was kept this is not satisfying to me 
919,D S,1.0,"Saturday, October 5, 2024 at 10:59:46 p.m.",1,walmart,United States,2024-10-01 22:59:46,avoid walmartcom,would give zeros stars if i could  only ordered toilet paper did not arrive  called after giving an extra day said maybe never come and if i cancel may  come anyway what is that just stop doing online business if youre that messy this is our second crap walmart experience online btw also only our second try too zero success avoid
920,Patty Parsons,1.0,"Friday, October 4, 2024 at 05:25:32 p.m.",1,walmart,United States,2024-10-01 17:25:32,i ordered from walmart,i ordered from walmart didnt know my order was from a 3rd party supplier absolutely awful time consuming experience was told by walmart my order would be delivered 11 days after date i was told tracking said order damaged in transit but 3rd party supplier said it was delivered the day prior to expected lie walmart says they cant refund because it hasnt been delivered based on their records but theres the problem if supplier gives a different response wheres the confidence had to dispute charge with bank wont order from walmart again
921,Eileen,2.0,"Sunday, October 6, 2024 at 10:09:53 p.m.",1,walmart,United States,2024-10-01 22:09:53,health issue with meat expiration date,i purchased meat from the rochester ny dewey avenue store on sept 22 2024 when i opened the meat at home it had a foul odor  the use by date on the meat was sept 18 2024 which meant the sell by date was even earlier  i contacted the store and was told i could bring the meat back be aware the meat department does not monitor the expiration date of meat this makes me suspect of other perishables being monitored please be aware 
922,Mackie,10.0,"Sunday, September 22, 2024 at 02:27:52 p.m.",2,walmart,United States,2024-09-01 14:27:52,walmart has some good mail order,walmart has some good mail order traits quick service and email updates however the emails neglect to tell you how the package was shipped usps ups fedex or whatever and dont provide tracking info to track your shipments you dont have any idea where you should look for itstheir arrival its very frustrating when youve placed multiple orders and youre 2 miles from your post box and 15 miles from the post office
923,Bob in NC,5.0,"Thursday, October 3, 2024 at 10:50:22 a.m.",1,walmart,Denmark,2024-10-01 10:50:22,dont shop online or at walmart,i wish i could give it no start  trying to buy tires what a tires what a nightmare  no help no customer service cant talk to english speaking person call center in india i think  trying to return items not at the store you have to do online even those the store has the items no refund to the installation and assorted fee  ill never shop or go into walmart again
924,customer M,6.0,"Thursday, September 19, 2024 at 05:08:07 p.m.",5,walmart,United States,2024-09-01 17:08:07,order arrived as promised,order arrived as promised concerned about new shipping packaging wish i could post a photo of the plastic bag as it has eco packaging with the fruit of the loom iconic symbols the bar code for the product is a stickerpaper located on the wrapper plastic is far from eco accept the shipping cost i prefer paper as it is the biodegradable product that dies not live on forever in our landfills local garbage bins etc
925,Shelly Blake,2.0,"Saturday, October 5, 2024 at 12:46:33 p.m.",1,walmart,United States,2024-10-01 12:46:33,walmartcom is not secure,walmartcom is not a safe shopping experience  somehow the grocery delivery driver was able to change my information in my account to her name  phone  not enough security in the app they lost a customer  
926,Ashley Mccree,1.0,"Friday, September 27, 2024 at 05:51:27 p.m.",5,walmart,United States,2024-09-01 17:51:27,fix issue with walmart ,i  placed walmartcom orders on a daily basis my most recent order that was delivered was a great experience i placed order on september 19 2024 they delivered it that evening around 730 cst i placed order early that same morning the order was delivered from store near my address i got an email and v text message saying my delivery driver is near then i got another email and text saying it was delivered this order was such a success i enjoy shopping at walmart my only issue is i have walmart and i have being getting charged for shipping this has to be change especially with walmart  members you stated no shipping will be charged but i have being getting a shipping fee walmart please fix this for you walmart members i know some companies charge a fee and it is pass on to me but these issues is not the case
927,Elisabeth Garreth,6.0,"Tuesday, October 1, 2024 at 09:27:49 a.m.",1,walmart,,2024-10-01 09:27:49,do not trust walmart company as an affiliate,do not trust walmart company if you decide to work with them through any affiliate program like skimlinks awin etc 1 they owe me 63 commissions 2 you will never receive even these small commissions because they do not pay skimlinks and as a result skimlinks and other networks do not pay you they dont answer emails they deceitfullyuse affiliates to gain more customers and are not honest company what a disappointment
928,Patricia Jones,1.0,"Friday, October 4, 2024 at 08:16:05 p.m.",1,walmart,United States,2024-10-01 20:16:05,overall walmart is the worst,overall walmart is the worst the quality the customer service the check out i dont think this is how the company was supposed to be and yet here we are the absolute worst in quality customer service and options they should be ashamed of themselves however theyre not because of the number of customers looking for a lower price disgusting 
929,Deborah S Lynch,7.0,"Tuesday, October 1, 2024 at 09:09:45 a.m.",1,walmart,United States,2024-10-01 09:09:45,beware nothing but a rip off place to waste your money or really they steal your money,i had placed an order an they charged me over 900 for a small thing of lipton tea bags said it was due to high demand of the tea bags then i had ordered a 9 double roll of angel soft which i never got these cheap ass holes rip you off at the central walmart dont ship there an god forbid you order anything from them they will find some way to rip you off plus you want get what you ordered either i highly recommend you shop any where but central walmart beware nothing but a rip off place to shop or order anything stay away from central sc walmart
930,C Hutsell,1.0,"Tuesday, September 24, 2024 at 11:16:08 a.m.",2,walmart,United States,2024-09-01 11:16:08,turned down in using a state issued duplicate of drivers license at a local store,went to local store to purchase some beer with a duplicate license received on 9102024 after losing my drivers license in the state of tn acceptable before but yesterday 92324 i was turned down from purchasing a case of beer i was told previously that it was ok to use for  up to 30 days until i got back my original i was told it was policy i also carry a employee permanent card with picture and birth date on it and was told this wasnt good enough i am 71 years old and never been so humiliated and quite agitated over such i am done being a customer at walmart  poor management and policy guess a birth certificate would not have worked either since there is no picture taken at birth  
